Age,Balance,CreditScore,EstimatedSalary,NumOfProducts,IsActiveMember,Zero_Balance,Balance_Salary_Ratio,Products_Bucket,Age_Inactive,Germany_HighBal,Geography,Gender,Exited
36,0.0,519,145562.4,2,1,1,0.0,0,0,0,France,Male,0
21,178718.19,735,22388.0,2,0,0,7.982410558756532,0,21,0,France,Female,0
55,0.0,664,139161.64,2,1,1,0.0,0,0,0,France,Male,0
32,0.0,678,148210.64,1,1,1,0.0,0,0,0,France,Female,0
33,77253.22,757,194239.63,1,1,0,0.39771915896277726,0,0,0,Spain,Male,0
41,122189.66,416,98301.61,2,0,0,1.2429950740880633,0,41,1,Germany,Female,0
34,96645.54,665,171413.66,2,0,0,0.5638114032953774,0,34,0,France,Female,0
32,0.0,777,136458.19,1,0,1,0.0,0,32,0,France,Female,1
36,0.0,543,26019.59,2,0,1,0.0,0,36,0,France,Female,0
34,90307.62,506,159235.29,1,1,0,0.567129641113844,0,0,0,France,Female,0
46,0.0,493,1907.66,2,0,1,0.0,0,46,0,France,Female,0
75,0.0,652,114675.75,2,1,1,0.0,0,0,0,Spain,Female,0
22,121681.82,750,128643.35,1,0,0,0.9458776852617313,0,22,0,Spain,Male,1
30,0.0,729,151869.35,2,0,1,0.0,0,30,0,France,Male,0
46,0.0,646,93251.42,3,0,1,0.0,1,46,0,France,Female,1
28,81623.67,635,156791.36,2,1,0,0.520584485111392,0,0,0,Germany,Female,0
44,0.0,647,174205.22,3,1,1,0.0,1,0,0,Spain,Female,1
45,118626.55,808,147132.46,2,0,0,0.8062513448674422,0,45,0,France,Male,0
36,0.0,524,109614.57,2,0,1,0.0,0,36,0,France,Female,0
29,0.0,769,172290.61,2,1,1,0.0,0,0,0,France,Male,0
42,0.0,730,85982.47,2,1,1,0.0,0,0,0,Spain,Male,0
35,176273.95,515,121277.78,1,1,0,1.45346077854675,0,0,0,Spain,Male,0
41,102827.44,773,64595.25,1,1,0,1.591848443214583,0,0,0,Spain,Male,0
29,97086.4,814,197276.13,2,1,0,0.49213205808498933,0,0,0,Germany,Male,0
22,0.0,710,99645.04,2,0,1,0.0,0,22,0,Spain,Male,0
34,0.0,413,6534.18,2,0,1,0.0,0,34,0,France,Male,0
40,0.0,665,161848.03,1,1,1,0.0,0,0,0,France,Female,0
44,0.0,623,167162.43,2,0,1,0.0,0,44,0,France,Female,0
31,82674.15,738,41970.72,1,0,0,1.9697584468780405,0,31,0,France,Male,0
36,0.0,528,60536.56,2,0,1,0.0,0,36,0,Spain,Male,0
65,0.0,670,177655.68,1,1,1,0.0,0,0,0,Spain,Female,1
46,107073.27,622,30984.59,2,1,0,3.455582740235058,0,0,0,Spain,Female,1
32,88938.62,582,10054.53,1,1,0,8.844747119246822,0,0,0,Germany,Male,0
36,99806.85,785,36976.52,1,1,0,2.6991223316220236,0,0,1,Germany,Female,0
33,150092.8,605,71862.79,1,0,0,2.0885733969778104,0,33,0,Spain,Male,0
35,92833.89,479,99449.86,1,0,0,0.9334649293128284,0,35,0,Germany,Male,1
30,90536.81,685,63082.88,1,1,0,1.4351813807267404,0,0,0,Germany,Male,0
39,108055.1,538,27231.26,2,0,0,3.9679079150977556,0,39,1,Germany,Male,0
42,100238.35,562,86797.41,1,0,0,1.1548408548036768,0,42,0,France,Male,0
36,106190.55,675,22994.32,1,1,0,4.617920081129552,0,0,0,Spain,Male,0
28,154475.54,721,101300.94,2,1,0,1.524902089732931,0,0,1,Germany,Male,1
30,132351.29,628,74169.13,2,1,0,1.7844284484872819,0,0,1,Germany,Female,0
37,167864.4,668,115638.29,1,0,0,1.4516208115771032,0,37,1,Germany,Female,0
41,0.0,506,31766.3,2,0,1,0.0,0,41,0,France,Female,0
31,107818.63,524,199725.39,1,0,0,0.5398316667116448,0,31,1,Germany,Female,1
34,185173.81,699,120834.48,2,0,0,1.5324456856545776,0,34,1,Germany,Male,0
34,129433.34,828,38131.77,2,0,0,3.3942810868447273,0,34,0,France,Male,0
39,120193.42,674,100130.95,1,0,0,1.200350337729366,0,39,0,Spain,Male,0
39,0.0,656,141069.88,2,0,1,0.0,0,39,0,France,Female,0
48,126384.42,684,198129.36,1,1,0,0.6378851782230649,0,0,1,Germany,Female,0
28,0.0,625,183646.41,1,0,1,0.0,0,28,0,France,Female,0
42,152603.45,432,110265.24,1,0,0,1.3839544179614722,0,42,0,France,Male,1
52,0.0,549,8636.05,1,1,1,0.0,0,0,0,France,Female,1
56,148507.24,625,46824.08,1,0,0,3.171532008060637,0,56,1,Germany,Male,1
41,0.0,828,171378.77,2,0,1,0.0,0,41,0,France,Female,0
24,101827.07,770,167256.35,1,0,0,0.608804755067565,0,24,0,France,Male,0
34,0.0,758,124226.16,2,1,1,0.0,0,0,0,France,Female,0
33,130862.43,795,114935.21,1,1,0,1.1385657313739508,0,0,1,Germany,Female,0
38,122570.87,687,35608.88,1,1,0,3.4420467016457232,0,0,0,France,Male,0
25,0.0,686,16459.37,2,1,1,0.0,0,0,0,France,Male,0
39,124828.46,789,124411.08,2,1,0,1.0033467811164318,0,0,1,Germany,Male,0
50,144895.05,589,34941.23,2,1,0,4.146703000924669,0,0,1,Germany,Female,0
34,63663.93,461,167784.28,1,1,0,0.3794369208073557,0,0,0,Germany,Female,0
40,133463.1,637,93165.34,1,1,0,1.432524879693675,0,0,0,France,Male,0
48,213146.2,584,75161.25,1,0,0,2.8358145212523573,0,48,0,Spain,Female,1
35,129490.36,579,8590.83,2,1,0,15.071336374206659,0,0,0,Spain,Female,1
44,137452.09,756,189543.9,1,0,0,0.7251690232762791,0,44,1,Germany,Male,0
34,0.0,663,180427.24,2,1,1,0.0,0,0,0,France,Male,0
43,125851.93,682,193318.33,1,1,0,0.6510054116161069,0,0,0,France,Female,0
52,0.0,793,159123.82,1,0,1,0.0,0,52,0,Spain,Male,1
31,40915.55,691,126213.84,1,0,0,0.3241738451674938,0,31,0,France,Female,1
21,113157.22,485,54141.5,1,1,0,2.089988825783811,0,0,0,Spain,Female,0
29,138296.94,635,141075.51,2,0,0,0.9802974286789486,0,29,0,Spain,Female,0
37,106967.18,650,24495.03,1,0,0,4.366714932991183,0,37,0,France,Male,0
44,120681.63,735,74836.34,1,0,0,1.6125857760310562,0,44,0,France,Male,0
32,0.0,416,878.87,2,1,1,0.0,0,0,0,France,Male,0
32,0.0,754,89520.75,2,0,1,0.0,0,32,0,Spain,Female,0
48,0.0,535,149892.79,1,0,1,0.0,0,48,0,France,Female,1
42,0.0,716,180800.42,2,0,1,0.0,0,42,0,Spain,Male,0
37,127609.59,539,98646.22,1,0,0,1.293595399850092,0,37,0,France,Male,0
43,0.0,614,109041.53,2,1,1,0.0,0,0,0,France,Female,0
57,0.0,706,17941.16,1,0,1,0.0,0,57,0,Spain,Male,1
33,0.0,758,82996.47,2,0,1,0.0,0,33,0,France,Female,0
28,0.0,586,92067.35,2,1,1,0.0,0,0,0,Spain,Female,0
73,97259.25,646,104719.66,1,1,0,0.9287493986382438,0,0,0,France,Female,0
33,123246.7,631,112687.57,1,0,0,1.0936929983227224,0,33,1,Germany,Female,0
22,101060.25,717,84699.56,1,1,0,1.1931473652594504,0,0,0,Spain,Female,0
30,0.0,684,83473.82,2,0,1,0.0,0,30,0,France,Male,0
49,108007.36,800,47125.11,1,0,0,2.291879384909979,0,49,0,France,Female,0
36,0.0,721,106977.8,2,1,1,0.0,0,0,0,Spain,Female,0
29,133702.89,683,55582.54,1,0,0,2.4054403515860994,0,29,0,Spain,Male,1
31,125189.75,660,139874.43,2,1,0,0.8950088661032177,0,0,1,Germany,Male,0
24,113034.22,704,162503.48,1,0,0,0.6955760235040904,0,24,1,Germany,Female,1
41,109013.23,615,196499.96,1,0,0,0.5547719970426608,0,41,0,Spain,Female,0
39,0.0,667,40721.24,2,0,1,0.0,0,39,0,Spain,Female,1
24,57929.81,682,53134.3,2,0,0,1.0902321055870579,0,24,0,Germany,Male,0
29,130114.39,484,164017.89,1,0,0,0.7932890534742675,0,29,0,France,Female,0
27,95826.49,628,155996.96,2,0,0,0.6142804046924717,0,27,0,Germany,Male,0
44,129608.57,480,5472.7,1,0,0,23.6784204468641,0,44,1,Germany,Male,1
30,169462.09,578,112187.11,1,0,0,1.5105173801394818,0,30,0,France,Male,0
40,0.0,512,146457.83,2,1,1,0.0,0,0,0,France,Male,0
35,133868.21,484,27286.1,1,1,0,4.905915615803805,0,0,0,Spain,Female,0
30,0.0,510,130553.47,2,1,1,0.0,0,0,0,France,Female,0
36,190479.48,606,179351.89,2,0,0,1.0620374168489841,0,36,1,Germany,Male,0
40,101993.12,597,94774.12,1,1,0,1.0761592282869175,0,0,0,Spain,Female,0
55,161608.81,754,8080.85,1,0,0,19.99651193724209,0,55,1,Germany,Female,1
45,122311.21,850,19482.5,1,1,0,6.277681628044243,0,0,0,Spain,Female,0
65,0.0,510,48071.61,2,1,1,0.0,0,0,0,France,Male,0
45,162150.42,778,174531.27,2,0,0,0.929056958922267,0,45,1,Germany,Female,0
42,0.0,636,55470.78,2,1,1,0.0,0,0,0,France,Male,0
50,0.0,804,8546.87,1,1,1,0.0,0,0,0,France,Female,1
32,0.0,514,95857.18,2,0,1,0.0,0,32,0,France,Male,0
39,99010.67,730,194945.8,1,0,0,0.5078855872473926,0,39,0,France,Female,0
37,0.0,525,131521.72,1,1,1,0.0,0,0,0,Spain,Female,0
30,0.0,616,196108.51,2,1,1,0.0,0,0,0,Spain,Male,0
34,111388.18,687,148564.76,2,0,0,0.7497567407187227,0,34,1,Germany,Female,0
41,56214.85,715,92982.61,2,0,0,0.6045672995488129,0,41,0,France,Female,1
36,84327.77,512,17675.36,2,0,0,4.770652442018606,0,36,0,France,Female,0
40,0.0,479,114996.43,2,0,1,0.0,0,40,0,France,Male,0
32,93012.89,601,86957.42,1,0,0,1.0696248850887586,0,32,0,France,Male,0
29,61710.44,580,128077.8,2,0,0,0.48181619440531925,0,29,0,Spain,Male,0
35,174790.15,807,600.36,1,1,0,290.65809165890647,0,0,0,France,Male,0
32,0.0,616,43001.46,2,1,1,0.0,0,0,0,Spain,Female,0
37,107720.64,721,158591.12,1,1,0,0.6792307209210647,0,0,1,Germany,Male,0
57,0.0,501,47847.19,2,1,1,0.0,0,0,0,France,Male,0
35,96423.84,521,10488.44,1,0,0,9.192467853383974,0,35,0,France,Male,0
30,141040.01,850,5978.2,1,1,0,23.588441597538136,0,0,0,Spain,Male,0
42,105420.18,759,121409.06,1,1,0,0.8682985577966109,0,0,0,France,Male,0
50,0.0,516,146145.93,1,1,1,0.0,0,0,0,Spain,Male,1
38,129022.06,711,14374.86,2,1,0,8.974910718384848,0,0,0,France,Female,1
33,176666.62,512,94670.77,1,0,0,1.8660960917916714,0,33,0,Spain,Male,0
37,0.0,550,179670.31,1,1,1,0.0,0,0,0,France,Male,0
41,89763.84,608,199304.74,1,0,0,0.45038261316507994,0,41,0,Spain,Female,1
34,134954.53,618,151954.39,1,1,0,0.8881194013585171,0,0,0,France,Male,0
45,0.0,643,142513.5,1,0,1,0.0,0,45,0,France,Male,1
45,106376.85,671,158264.62,1,1,0,0.6721412395187282,0,0,0,France,Male,0
33,161814.64,689,169381.9,2,0,0,0.9553186301568813,0,33,1,Germany,Male,0
31,0.0,603,169915.02,2,1,1,0.0,0,0,0,France,Male,0
41,0.0,620,88852.47,2,0,1,0.0,0,41,0,France,Female,0
34,63095.01,676,40645.81,1,1,0,1.5522745819413628,0,0,0,France,Female,0
26,118287.01,572,60427.3,2,0,0,1.9574770430410915,0,26,1,Germany,Male,0
47,106854.21,668,157959.02,1,1,0,0.676463639343677,0,0,1,Germany,Male,1
46,49512.55,695,133007.34,1,0,0,0.3722514693439524,0,46,0,France,Male,0
33,0.0,730,176576.62,2,0,1,0.0,0,33,0,Spain,Female,0
43,105799.32,807,34888.04,2,0,0,3.032451451802629,0,43,0,France,Male,1
54,0.0,592,28737.71,1,1,1,0.0,0,0,0,France,Male,1
31,114722.05,726,98178.57,2,1,0,1.1684920803788406,0,0,0,France,Female,0
30,0.0,514,125010.24,1,1,1,0.0,0,0,0,Spain,Male,0
42,0.0,567,167984.61,2,1,1,0.0,0,0,0,France,Male,0
33,0.0,850,4861.72,1,0,1,0.0,0,33,0,France,Male,1
45,99564.22,671,108872.45,1,1,0,0.9144949480337033,0,0,1,Germany,Male,1
37,170557.91,670,198252.88,2,0,0,0.8603004894532202,0,37,0,France,Male,0
30,0.0,694,26960.31,2,1,1,0.0,0,0,0,France,Female,0
39,74596.15,547,85746.52,3,1,0,0.8699511076238705,1,0,0,Germany,Female,1
50,96888.39,751,77206.25,1,0,0,1.2549131072535287,0,50,0,Germany,Male,1
29,130830.22,594,61048.53,1,0,0,2.1430176448532854,0,29,1,Germany,Female,0
72,0.0,673,111981.19,2,1,1,0.0,0,0,0,France,Male,0
40,0.0,610,62232.6,2,0,1,0.0,0,40,0,France,Male,0
37,0.0,512,156105.03,2,1,1,0.0,0,0,0,France,Female,0
20,119714.25,767,150135.38,2,1,0,0.7973700311676624,0,0,1,Germany,Male,0
67,113978.97,585,93146.11,2,1,0,1.2236447271418298,0,0,0,France,Female,0
42,100160.75,763,33462.94,1,0,0,2.9930949553459634,0,42,1,Germany,Male,1
29,0.0,712,144375.0,1,1,1,0.0,0,0,0,France,Female,0
43,116220.5,539,55803.96,3,0,0,2.082619537761518,1,43,1,Germany,Female,1
46,0.0,668,89048.46,3,0,1,0.0,1,46,0,France,Female,1
28,81173.83,703,162812.16,2,1,0,0.49857044725377236,0,0,0,France,Male,0
38,0.0,662,136259.65,2,0,1,0.0,0,38,0,Spain,Male,0
39,116803.8,725,124052.97,1,0,0,0.9415563242353309,0,39,1,Germany,Female,0
37,105961.68,703,74158.8,2,1,0,1.4288290960870982,0,0,0,France,Male,0
67,117411.6,659,45071.09,1,1,0,2.604973499121075,0,0,1,Germany,Male,1
34,0.0,523,62030.06,2,0,1,0.0,0,34,0,Spain,Male,0
40,123497.58,635,131953.23,1,0,0,0.9359122477543917,0,40,0,France,Female,1
26,152400.51,772,79414.0,2,0,0,1.9190393502486938,0,26,1,Germany,Male,0
26,0.0,545,199638.56,2,1,1,0.0,0,0,0,France,Female,0
24,103097.85,634,157577.29,1,1,0,0.6542643025254303,0,0,1,Germany,Male,0
54,126418.14,739,134420.75,1,0,0,0.9404589659039553,0,54,1,Germany,Male,1
36,77846.9,771,99805.99,1,0,0,0.7799744286447271,0,36,0,Germany,Female,0
34,0.0,587,97932.68,2,1,1,0.0,0,0,0,Spain,Female,0
79,0.0,681,170968.99,2,1,1,0.0,0,0,0,France,Female,0
37,79731.91,544,57558.95,1,1,0,1.385197693882639,0,0,0,Germany,Male,0
28,0.0,696,176713.47,1,0,1,0.0,0,28,0,Spain,Male,0
41,0.0,766,34283.23,2,1,1,0.0,0,0,0,Spain,Male,0
34,0.0,727,198637.34,2,1,1,0.0,0,0,0,France,Male,0
34,37266.67,671,156917.12,2,0,0,0.23749118329992738,0,34,0,Germany,Female,0
30,127992.25,693,50457.2,1,1,0,2.5365996012541077,0,0,0,France,Female,0
38,54901.01,850,140075.55,1,1,0,0.39193576655050405,0,0,0,Germany,Male,0
42,108748.08,732,65323.11,2,1,0,1.6647464466029465,0,0,1,Germany,Male,0
48,99906.19,726,64323.24,1,0,0,1.5531654940656898,0,48,0,Spain,Female,0
32,184686.41,557,14956.44,2,0,0,12.347461196568396,0,32,0,France,Female,0
26,110654.02,682,111879.21,1,1,0,0.9890401528563452,0,0,0,France,Female,0
31,79019.8,738,18606.23,1,1,0,4.246725600747666,0,0,0,Spain,Male,0
36,99240.51,531,123137.01,1,0,0,0.8059291359345502,0,36,0,Spain,Female,0
34,0.0,498,148528.24,2,1,1,0.0,0,0,0,France,Male,0
36,0.0,651,13898.31,2,0,1,0.0,0,36,0,France,Male,0
39,0.0,549,81259.25,1,0,1,0.0,0,39,0,Spain,Female,1
35,52436.2,791,161051.75,1,0,0,0.3255840089660065,0,35,0,Germany,Female,0
41,0.0,650,191599.67,2,1,1,0.0,0,0,0,Spain,Male,0
34,100337.96,733,48559.19,3,0,0,2.066259625425683,1,34,1,Germany,Male,1
34,149297.19,811,186339.74,2,1,0,0.8012053080823872,0,0,1,Germany,Female,0
30,0.0,707,33159.37,2,0,1,0.0,0,30,0,France,Male,0
28,145605.44,712,93883.53,1,1,0,1.5508991736977327,0,0,1,Germany,Male,0
37,0.0,706,110899.3,2,1,1,0.0,0,0,0,Spain,Female,0
62,0.0,756,11199.04,1,1,1,0.0,0,0,0,France,Male,1
53,0.0,777,189992.97,2,0,1,0.0,0,53,0,France,Female,0
35,84026.86,646,164255.69,1,1,0,0.5115582202466152,0,0,0,France,Male,0
46,0.0,714,152167.79,1,0,1,0.0,0,46,0,France,Male,1
39,0.0,782,33949.67,2,1,1,0.0,0,0,0,France,Male,0
29,0.0,775,68143.93,2,1,1,0.0,0,0,0,Spain,Male,0
35,138718.92,479,47251.79,1,1,0,2.935676814003999,0,0,1,Germany,Male,1
42,118274.71,807,25885.72,1,1,0,4.568933800805973,0,0,0,France,Male,0
22,174185.98,799,192633.85,2,1,0,0.9042288038742731,0,0,0,France,Female,0
40,113208.86,675,34577.36,2,0,0,3.2739800268144585,0,40,0,France,Male,0
29,103907.28,602,161229.84,1,0,0,0.6444628087281565,0,29,0,Spain,Male,0
32,119023.28,475,100816.29,1,0,0,1.1805840049856529,0,32,0,France,Female,0
26,166297.89,744,181694.44,1,1,0,0.9152562662001865,0,0,0,Spain,Female,0
34,0.0,588,79078.91,2,0,1,0.0,0,34,0,Spain,Male,0
42,63227.0,703,137316.32,1,1,0,0.46044446541776374,0,0,0,Germany,Male,0
41,94521.17,747,194926.86,2,0,0,0.4849033380862028,0,41,0,Spain,Female,0
27,0.0,583,51285.49,2,0,1,0.0,0,27,0,France,Male,0
34,112822.26,750,150401.53,1,0,0,0.750135386685317,0,34,0,Spain,Female,1
38,0.0,681,112491.96,2,1,1,0.0,0,0,0,France,Male,0
25,135903.33,773,73656.38,1,0,0,1.8450741799396067,0,25,0,France,Male,0
31,125169.26,714,106636.89,1,1,0,1.173778475924458,0,0,0,France,Female,0
44,0.0,687,155853.52,3,0,1,0.0,1,44,0,Spain,Female,1
58,149117.31,511,162599.51,1,1,0,0.917077750863143,0,0,0,France,Male,0
33,0.0,627,103737.82,2,1,1,0.0,0,0,0,France,Male,0
31,0.0,694,160990.27,2,0,1,0.0,0,31,0,France,Female,0
36,132311.71,616,15462.84,1,0,0,8.556200141750043,0,36,0,Spain,Female,0
35,0.0,687,10334.05,2,0,1,0.0,0,35,0,France,Male,0
33,0.0,712,190686.16,2,1,1,0.0,0,0,0,France,Female,0
33,118082.89,553,94440.45,1,0,0,1.250329066315691,0,33,0,France,Male,0
31,119266.69,667,28257.63,1,1,0,4.22054041544123,0,0,0,France,Male,0
43,0.0,731,170034.95,1,1,1,0.0,0,0,0,France,Male,1
35,156847.29,629,31824.29,2,0,0,4.9283852558766945,0,35,1,Germany,Male,0
50,137104.47,614,127166.49,1,0,0,1.0781408833342547,0,50,0,France,Male,1
31,78398.69,438,44937.01,1,0,0,1.7445963895597514,0,31,0,Germany,Male,0
80,0.0,652,188603.07,2,1,1,0.0,0,0,0,France,Female,0
30,63669.42,729,145111.37,1,0,0,0.4387594248512377,0,30,0,Germany,Male,0
38,0.0,642,171463.83,2,0,1,0.0,0,38,0,France,Male,0
59,135296.33,806,182822.5,1,0,0,0.7400379601090669,0,59,1,Germany,Female,0
36,153804.44,744,87213.33,1,1,0,1.763522577081083,0,0,0,Spain,Male,0
37,0.0,474,57175.32,2,0,1,0.0,0,37,0,Spain,Male,0
49,147069.78,559,120540.83,1,0,0,1.2200725673403165,0,49,0,France,Male,1
42,0.0,706,28714.34,2,1,1,0.0,0,0,0,Spain,Male,0
22,0.0,628,85426.28,1,0,1,0.0,0,22,0,Spain,Female,0
24,95741.75,429,46170.75,1,0,0,2.0736001992560387,0,24,0,France,Male,0
57,145965.33,525,64448.36,1,1,0,2.26480650855183,0,0,0,Spain,Female,0
30,141441.75,680,16278.97,1,1,0,8.688084191801337,0,0,0,France,Female,0
40,139290.41,749,182855.42,1,0,0,0.7617474409703525,0,40,0,France,Male,1
31,0.0,763,50404.72,2,0,1,0.0,0,31,0,France,Female,0
30,0.0,734,107640.25,2,0,1,0.0,0,30,0,France,Male,0
35,144428.87,716,134132.65,1,0,0,1.076753447028393,0,35,0,France,Male,0
35,0.0,594,103480.69,2,0,1,0.0,0,35,0,France,Male,0
46,95441.27,644,108761.05,1,0,0,0.877523639909325,0,46,0,France,Female,1
35,144848.74,671,179012.3,1,1,0,0.8091507167344549,0,0,1,Germany,Male,0
26,116244.14,664,95145.14,2,1,0,1.2217430996149712,0,0,1,Germany,Male,0
50,0.0,656,72143.44,2,1,1,0.0,0,0,0,France,Male,0
40,146502.07,667,19162.89,1,0,0,7.644693744328527,0,40,0,Spain,Female,0
44,117028.6,663,144680.18,2,1,0,0.8088723080638409,0,0,1,Germany,Male,0
30,112013.81,584,177772.03,1,0,0,0.6300945087114733,0,30,1,Germany,Female,1
37,108269.37,626,5597.94,1,0,0,19.33747637945754,0,37,0,Spain,Female,0
29,182123.79,485,116828.51,1,0,0,1.5588851652292304,0,29,0,France,Male,1
32,150923.74,659,174652.51,2,1,0,0.8641323040115253,0,0,1,Germany,Female,0
33,0.0,649,2010.98,2,0,1,0.0,0,33,0,France,Male,0
39,165272.13,805,14109.85,1,0,0,11.712414914764171,0,39,0,Spain,Female,1
39,115301.31,716,43527.4,1,0,0,2.64887544683471,0,39,1,Germany,Female,1
